Soru_No,Konu,Soru,Cevap,Sure_sn,Keyword_Hit_Rate,Precision_at_5,Recall_at_5,MRR,NDCG_at_5,BLEU,ROUGE_1,ROUGE_2,ROUGE_L,METEOR,R1_P,R1_R,TFIDF,Semantic
11,Tanı & Pulpa Patolojisi,What are the clinical signs of irreversible pulpitis?,"Irreversible pulpitis presents as either an asymptomatic tooth with deep caries or tooth structure loss, or as a symptomatic emergency case requiring immediate treatment. (Note: This question-answer pair assumes some background knowledge about dental conditions.)

Keywords: irreversible",9.91,0.286,0.8,1.0,1.0,2.4484591188793923,0.027,0.218,0.075,0.218,0.223,0.158,0.353,0.117,0.748
12,Tanı & Pulpa Patolojisi,How is pulp necrosis diagnosed clinically?,"Lack of response to electric pulp testing and absence of spontaneous symptoms indicate pulp necrosis. However, irreversible pulp inflammation may not always be diagnosable based on pulp testing alone. Other diagnostic methods such as radiography or confirmatory tests may be",9.93,0.286,0.2,1.0,1.0,1.0,0.015,0.25,0.074,0.143,0.261,0.175,0.438,0.179,0.789
13,Tanı & Pulpa Patolojisi,What is the difference between reversible and irreversible pulpitis?,"Reversible pulpitis indicates inflammation of the dental pulp that resolves once the irritant is removed, while irreversible pulpitis refers to severe inflammation where the pulp tissue undergoes necrosis despite removal of the irritant. Confusion may",9.57,0.625,0.6,1.0,1.0,2.1309297535714578,0.037,0.314,0.122,0.314,0.392,0.229,0.5,0.19,0.835
14,Tanı & Pulpa Patolojisi,What are the vitality tests used in endodontic diagnosis?,"The following endodontic tests should be performed for a correct and accurate endodontic diagnosis: percussion, thermal testing, electrical testing (optional), palpation, mobility, and periodontal assessment. These tests help in recording both positive and negative pulpal testing results. Keywords",9.38,0.5,0.0,0.0,0.0,0.0,0.006,0.276,0.0,0.172,0.183,0.211,0.4,0.1,0.681
15,Tanı & Pulpa Patolojisi,What is symptomatic apical periodontitis and how does it present?,"Symptomatic apical periodontitis presents as an inflammatory response to pulpal infection with rapid onset, spontaneous pain, tenderness, pus formation, and swelling of associated tissues. It is highly painful to biting pressure, percussion, and palp",9.89,0.75,0.4,1.0,0.5,1.0616063116448506,0.086,0.392,0.122,0.314,0.443,0.294,0.588,0.319,0.891
16,Tanı & Pulpa Patolojisi,How does a periapical abscess differ from a periodontal abscess?,"A periapical abscess differs from a periodontal abscess in terms of its location and cellular composition, with the former being associated with acute inflammation dominated by neutrophils and the latter involving chronic inflammation featuring macrophages and lym",9.95,0.429,0.0,0.0,0.0,0.0,0.043,0.291,0.151,0.291,0.317,0.216,0.444,0.161,0.852
17,Tanı & Pulpa Patolojisi,What is internal resorption and how is it diagnosed?,"Internal resorption is a pathologic condition characterized by loss of dental hard tissues due to clastic activities. It can be diagnosed radiographically through identification of peculiar radiolucencies within the root canal.

Note: The text provided is from page 2303 of",9.05,0.571,0.2,1.0,1.0,1.0,0.038,0.414,0.143,0.241,0.422,0.3,0.667,0.273,0.837
18,Tanı & Pulpa Patolojisi,What is the significance of sinus tract in endodontic diagnosis?,"Sinus tracts near endodontically involved teeth may indicate odontogenic maxillary sinusitis, affecting treatment planning and requiring careful evaluation using CBCT images.

Keywords: sinus tract, odontogenic maxillary sinusitis, treatment planning, CB",9.67,0.25,0.2,1.0,0.2,0.38685280723454163,0.015,0.167,0.043,0.167,0.194,0.133,0.222,0.082,0.748
19,Tanı & Pulpa Patolojisi,How does diabetes affect pulpal and periapical tissues?,"Diabetes mellitus can impact pulpal and periapital tissues by altering their healing process due to altered cytokine expression and reduced growth factor levels. (Note: This response is based on information from the text.)

Keywords: Diabetes m",10.1,0.143,0.0,0.0,0.0,0.0,0.008,0.226,0.0,0.151,0.159,0.167,0.353,0.221,0.853
20,Tanı & Pulpa Patolojisi,What is the role of cone beam CT in endodontic diagnosis?,"Cone beam CT provides a quantum leap in determining the causes of posttreatment apical periodontitis by enabling easy, safe, and inexpensive visualization of the tooth and surrounding structures in three dimensions. It can result in significant changes to the treatment plan based on the collected di",9.5,0.333,0.2,1.0,0.3333333333333333,0.5,0.005,0.095,0.0,0.063,0.105,0.064,0.188,0.066,0.806
21,Kanal Şekillendirme & Alet,Explain the importance of working length determination in endodontics.,Working length determination is crucial for avoiding overextension of root filling materials into the periodontium; incorrect readings may result in overinstrumentation and overextension during retreatment. Recent studies suggest using CBCT imaging for more accurate working length measurements compa,9.17,0.625,0.2,1.0,1.0,1.0,0.03,0.246,0.109,0.211,0.309,0.171,0.438,0.223,0.769
22,Kanal Şekillendirme & Alet,How should a clinician manage a separated instrument in the root canal?,"Take immediate radiograph for confirmation, assess location, size, and possible removal chances; advise the patient about the incident's impact on the prognosis. (Note: Preserve exact clinical keywords from the text whenever possible.)

(Keywords: separated instrument, radiograph, location,",9.61,0.375,0.2,1.0,0.3333333333333333,0.5,0.013,0.172,0.036,0.103,0.171,0.132,0.25,0.183,0.636
23,Kanal Şekillendirme & Alet,How does electronic apex locator work in determining working length?,Electronic apex locators determine working length by measuring the impedance of the canal with two current sources of different frequencies and calculating a quotient from the electrical potentials proportional to each impedance (ratio measurement method). This method is not significantly affected b,9.81,0.875,0.6,1.0,1.0,2.1309297535714578,0.04,0.387,0.133,0.29,0.496,0.273,0.667,0.267,0.817
24,Kanal Şekillendirme & Alet,What are the advantages of nickel-titanium rotary instruments over stainless steel files?,"Nickel-titanium rotary instruments offer greater flexibility and effectiveness compared to stainless steel files, but they require proper maintenance and can be more expensive. Stainless steel files, on the other hand, are less expensive, more resistant to fracture, and suitable for manual operation",8.89,0.625,0.2,1.0,1.0,1.0,0.098,0.328,0.203,0.328,0.457,0.233,0.556,0.258,0.792
25,Kanal Şekillendirme & Alet,What is the crown-down technique in root canal preparation?,"The crown-down technique involves an exploratory action with a small file, followed by a gradual reduction in file sizes towards the apical foramen while maintaining adequate irrigation. Significant wall contact should be avoided during this process. Studies have shown more centered preparations usi",9.87,0.5,0.4,1.0,1.0,1.6309297535714575,0.051,0.212,0.094,0.182,0.263,0.149,0.368,0.144,0.768
26,Kanal Şekillendirme & Alet,What is canal transportation and how can it be prevented?,"Canal transportation refers to a canal irregularity caused by using non-precurved, end-cutting instruments in curved canals with too much apical pressure. It makes the canal shape change and becomes difficult or impossible to bypass. To prevent this, proper use of instruments and",10.02,0.375,0.2,1.0,1.0,1.0,0.017,0.338,0.095,0.246,0.366,0.25,0.524,0.284,0.775
27,Kanal Şekillendirme & Alet,What is the significance of patency filing in root canal treatment?,"Patency filing helps maintain working length and prevents debris from being driven through the foramen, reducing the risk of inoculation. Initial clinical evidence suggests it provides some benefit without significantly increasing post-treatment symptoms.",6.83,0.5,0.2,1.0,1.0,1.0,0.017,0.364,0.038,0.255,0.308,0.294,0.476,0.261,0.793
28,Kanal Şekillendirme & Alet,What is cyclic fatigue in endodontic instruments and how is it managed?,"Cyclic fatigue refers to repeated compressive and tensile stresses causing failure without prior deformation. It's more common in curved root canals. Instruments affected by this may become less resistant to torsional fatigue failure, while using rotary instruments at high",9.82,0.556,0.8,1.0,1.0,2.5177825608059994,0.019,0.4,0.103,0.367,0.335,0.3,0.6,0.276,0.829
29,Kanal Şekillendirme & Alet,What are reciprocating systems in endodontic instrumentation?,"Reciprocating systems refer to engine-driven instruments used in endodontics for over half a century, which include handpieces permitting alternating clockwise-counterclockwise motion to prevent canal transportation and file fracture. However, they have been replaced by single-length files due",9.81,0.444,0.2,1.0,0.3333333333333333,0.5,0.014,0.323,0.033,0.226,0.267,0.25,0.455,0.209,0.755
30,Kanal Şekillendirme & Alet,What is the apical constriction and why is it the ideal endpoint of preparation?,"The apical constriction refers to the narrowest portion of a root canal at its terminus. It is the ideal endpoint of preparation due to easier accessibility for irrigation and obturation techniques. However, wider apical preparations can also effectively remove infected dentin and allow deeper penet",8.98,1.0,0.2,1.0,1.0,1.0,0.051,0.507,0.246,0.418,0.521,0.37,0.81,0.533,0.892
31,Obtürasyon & Dolum,How is gutta-percha used in root canal obturation?,"Gutta-percha is commonly used for root canal obturation due to its ease of placement and relative simplicity of removal through the application of heat, solvents, and mechanical instruments. However, proper identification of the existing root filling material is essential before attempting retreatme",9.35,0.556,0.2,1.0,1.0,1.0,0.035,0.358,0.154,0.239,0.403,0.261,0.571,0.384,0.805
32,Obtürasyon & Dolum,What is the role of MTA in endodontic treatment?,"MTA is used for mineral trioxide aggregate pulpotomy, which involves applying it to a thickness of approximately 3 mm over the pulp. It helps in achieving advancing apical closure and responding positively to cold sensibility testing. However, it may cause slight discoloration in",10.01,0.25,0.0,0.0,0.0,0.0,0.061,0.222,0.098,0.222,0.315,0.163,0.35,0.163,0.752
33,Obtürasyon & Dolum,Describe the lateral condensation technique for root canal obturation.,"The lateral condensation technique involves enlarging the canal region to a size #40 or #50, improving its shape through steps with larger instruments while ensuring adequate irrigation and recapitulation. This method results in more centered preparations in curved root canals compared to",9.67,0.333,0.0,0.0,0.0,0.0,0.016,0.286,0.066,0.159,0.298,0.214,0.429,0.224,0.701
34,Obtürasyon & Dolum,What is warm vertical compaction and what are its advantages?,Warm vertical compaction is a technique used for endodontic treatment where material is compacted vertically into the root canal using heat. Its advantages include filling of canal irregularities and accessory canals.,6.77,0.444,0.2,1.0,1.0,1.0,0.042,0.367,0.17,0.286,0.426,0.29,0.5,0.174,0.805
35,Obtürasyon & Dolum,What are the functions of root canal sealers?,"Root canal sealers fill voids and irregularities, seal the space between the dentinal wall and the obturating core interface, serve as lubricants during the obturation process. An ideal sealer should satisfy certain criteria but none does so completely at present. (Note: Due to",9.65,0.556,0.2,1.0,1.0,1.0,0.118,0.413,0.197,0.349,0.406,0.302,0.65,0.426,0.792
36,Obtürasyon & Dolum,What is the single-cone obturation technique?,The text does not provide information on the single-cone obturation technique. It discusses CBCT scans and their effectiveness in detecting root perforations compared to single-angle and two-angle PA radiographs. Keywords from the question do not appear in the text. Therefore,9.31,0.333,0.0,0.0,0.0,0.0,0.025,0.185,0.063,0.185,0.124,0.14,0.273,0.227,0.629
37,Obtürasyon & Dolum,What are the properties of an ideal root canal filling material?,"An ideal root canal filling material should effectively kill microbes, not irritate periapical tissues, remain stable, have a long antimicrobial effect, be non-toxic, non-staining, easy to apply, and relatively inexpensive. It should also not",9.18,0.375,0.2,1.0,0.3333333333333333,0.5,0.037,0.346,0.12,0.269,0.382,0.25,0.562,0.23,0.706
38,Obtürasyon & Dolum,What is the biological basis of pulp capping treatment?,"The presence or absence of microorganisms determines the healing of pulp tissue, and direct exposure of dentin or pulp tissue during caries excavation or trauma can lead to irreversible damage by bacterial toxins or restorative materials, making it necessary to cover both the",9.82,0.25,0.0,0.0,0.0,0.0,0.006,0.167,0.0,0.1,0.128,0.116,0.294,0.148,0.703
39,Obtürasyon & Dolum,What is apexification and when is it indicated?,Apexification involves treating an inflamed pulp in immature teeth with thick dentinal walls and incomplete apices. It includes removing the coronal pulp to the root orifices and placing a hardening agent to promote cementum formation and seal the root ends. This procedure is,9.93,0.25,0.4,1.0,0.5,1.0616063116448506,0.059,0.271,0.105,0.203,0.376,0.186,0.5,0.111,0.802
40,Obtürasyon & Dolum,How does bioceramic sealer differ from traditional epoxy resin sealers?,"Bioceramic sealer is more effective in sealing the canal and more biocompatible than traditional epoxy resin sealers, but its predictable placement into the apical extent of a curved canal is problematic. Unlike traditional sealers, it requires careful handling without a holding",8.91,0.625,0.6,1.0,1.0,2.1309297535714578,0.028,0.241,0.107,0.207,0.274,0.171,0.412,0.191,0.822
41,Komplikasyonlar & Başarısızlık,What are the main causes of endodontic treatment failure?,"Incorrect root canal length determination, failing to use instruments in sequential order, and over-reliance on chelating agents are among the main causes of endodontic treatment failure. (Note: This question-answer pair may not be clinically relevant without additional context.)",9.79,0.25,0.0,0.0,0.0,0.0,0.005,0.111,0.0,0.074,0.12,0.075,0.214,0.045,0.8
42,Komplikasyonlar & Başarısızlık,What are the indications for root canal retreatment?,"Indications include inadequate time for complete retreatment, lack of necessary equipment or knowledge, and questionable prognosis following nonsurgical retreatment. Additionally, the tooth must be restorable and retreatable. In certain cases, apical surgery alone may be indicated. Disease situation",9.95,0.125,0.2,1.0,0.2,0.38685280723454163,0.007,0.179,0.0,0.107,0.13,0.128,0.294,0.124,0.671
43,Komplikasyonlar & Başarısızlık,What is a vertical root fracture and how is it diagnosed?,"A vertical root fracture is a dental condition characterized by a split in the tooth's root lengthwise. It can be diagnosed using CBCT scans, which have a high sensitivity (88%) and specificity (75%). CBCT is generally more accurate and reliable than traditional in",9.24,0.5,0.0,0.0,0.0,0.0,0.013,0.286,0.066,0.254,0.32,0.205,0.474,0.247,0.785
44,Komplikasyonlar & Başarısızlık,How is a root perforation managed in endodontics?,"Root perforations are managed based on their size, location, timing, periodontal damage, and the sealing ability/biocompatibility of the repair material. Commonly used materials include mineral trioxide aggregate (MTA), super ethoxybenzoic acid (EBA)",9.26,0.625,0.0,0.0,0.0,0.0,0.008,0.28,0.042,0.28,0.258,0.212,0.412,0.116,0.806
45,Komplikasyonlar & Başarısızlık,What is a flare-up in endodontics and how is it managed?,"A flare-up refers to an increase in symptoms following endodontic treatment, affecting around 8.4% of cases. It's more common in females under 20, maxillary lateral incisors, and retreatments with large periapical lesions",9.8,0.25,0.4,1.0,1.0,1.5,0.038,0.327,0.113,0.255,0.385,0.257,0.45,0.214,0.89
46,Komplikasyonlar & Başarısızlık,What are the causes and management of post-operative pain after root canal treatment?,Post-operative pain after root canal treatment is less frequent after obturation than during cleaning and shaping. A randomized prospective double-blind clinical trial failed to show the effectiveness of antibiotics in preventing post-treatment flare-ups. (Keywords: Post-,9.79,0.5,0.0,0.0,0.0,0.0,0.027,0.211,0.073,0.175,0.212,0.154,0.333,0.139,0.723
47,Komplikasyonlar & Başarısızlık,What is ledge formation in root canal treatment and how is it prevented?,Ledge formation is a type of canal irregularity caused by using non-precurved instruments in curved canals with excessive apical pressure. It can be prevented by ensuring proper instrument placement and applying appropriate apical pressures. Regular confirmation of apical patency during instrumentat,8.88,0.556,0.2,1.0,0.5,0.6309297535714575,0.034,0.328,0.123,0.239,0.354,0.25,0.478,0.213,0.842
48,Komplikasyonlar & Başarısızlık,What is the impact of coronal leakage on endodontic treatment outcomes?,"Coronal leakage has a profound effect on endodontic treatment outcomes (OR = 10.7; 95% CI: 3.7, 31.5). Other factors such as the type of post-root canal treatment restoration, including permanent vs.",9.93,0.375,0.0,0.0,0.0,0.0,0.015,0.192,0.04,0.192,0.19,0.147,0.278,0.139,0.697
49,Komplikasyonlar & Başarısızlık,How is external root resorption diagnosed and managed endodontically?,"External root resorption is diagnosed based on its diagnostic features, which include lentil shape canal, rough and irregular dentinal wall, and reverse (inverted) polarity on radiographs. It's managed endodontically by preparing the root and socket, splinting",9.78,0.5,0.4,1.0,0.5,1.1309297535714575,0.038,0.421,0.109,0.316,0.393,0.324,0.6,0.359,0.787
50,Komplikasyonlar & Başarısızlık,What microorganisms are most commonly associated with persistent endodontic infections?,"Bacteria and fungi are common microorganisms found in persistent endodontic infections. (References: [Belge 1 | Sayfa 1927])

Note: The text reference [Belge 1 | Sayfa 1927]",9.21,0.25,0.4,1.0,1.0,1.6309297535714575,0.022,0.273,0.048,0.182,0.209,0.25,0.3,0.139,0.752
